"Tissue","Project","Sample","Num_cells","cohort"
"Head_and_Neck","GSE162864","Control_Pool_2_1",606,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_2_2",590,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_2_3",658,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_2_4",602,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_3_1",392,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_3_2",427,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_4_1",279,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_4_2",315,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_4_3",293,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_4_4",266,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_5_1",88,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_5_2",70,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_5_3",79,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_5_4",73,"Winkley_2021"
"Head_and_Neck","GSE162864","Control_Pool_6_2",54,"Winkley_2021"
"Prostate","GSE117403","D27",69,"Henry_2018"
"Prostate","GSE117403","D35",133,"Henry_2018"
"Ovary","GSE118127","pat0",93,"Fan_2019"
"Ovary","GSE118127","pat3",165,"Fan_2019"
"Ovary","GSE118127","pat7",383,"Fan_2019"
"Ovary","GSE118127","pat9",559,"Fan_2019"
"Pleura","GSE243446","Patient 1",574,"Obacz_2024"
"Pleura","GSE243446","Patient 2",546,"Obacz_2024"
"Pleura","GSE243446","Patient 3",2264,"Obacz_2024"
"Pleura","GSE243446","Patient 4",253,"Obacz_2024"
"Pleura","GSE243446","Patient 5",2151,"Obacz_2024"
"Pleura","GSE243446","Patient 6",1173,"Obacz_2024"
"Pleura","GSE243446","Patient 7",1549,"Obacz_2024"
"Pleura","GSE243446","Patient 8",446,"Obacz_2024"
"Esophagus","EGAD00001010074","Patient01",163,"Nowicki-Osuch_2023"
"Esophagus","EGAD00001010074","Patient02",65,"Nowicki-Osuch_2023"
"Esophagus","EGAD00001010074","Patient06",181,"Nowicki-Osuch_2023"
"Esophagus","EGAD00001010074","Patient08",75,"Nowicki-Osuch_2023"
"Esophagus","EGAD00001010074","Patient09",74,"Nowicki-Osuch_2023"
"Esophagus","EGAD00001010074","Patient10",339,"Nowicki-Osuch_2023"
"Esophagus","EGAD00001010074","Patient11",798,"Nowicki-Osuch_2023"
"Esophagus","EGAD00001010074","Patient13",295,"Nowicki-Osuch_2023"
"Esophagus","EGAD00001010074","Patient15",82,"Nowicki-Osuch_2023"
"Stomach","EGAD00001010074","Patient07",134,"Nowicki-Osuch_2023"
"Stomach","EGAD00001010074","Patient13",52,"Nowicki-Osuch_2023"
"Stomach","EGAD00001010074","Patient14",1598,"Nowicki-Osuch_2023"
"Stomach","EGAD00001010074","Patient15",329,"Nowicki-Osuch_2023"
"Stomach","EGAD00001010074","Patient16",164,"Nowicki-Osuch_2023"
"Stomach","EGAD00001010074","Patient17",447,"Nowicki-Osuch_2023"
"Stomach","EGAD00001010074","Patient21",351,"Nowicki-Osuch_2023"
"Stomach","EGAD00001010074","Patient22",150,"Nowicki-Osuch_2023"
"Stomach","GSE183904","NGCII512",1431,"Kumar_2022"
"Stomach","GSE183904","NGCII513",960,"Kumar_2022"
"Stomach","GSE183904","NGCII514",965,"Kumar_2022"
"Stomach","GSE183904","NGCII518",1541,"Kumar_2022"
"Stomach","GSE183904","NGCII520",1161,"Kumar_2022"
"Stomach","GSE183904","NGCII521",1444,"Kumar_2022"
"Stomach","GSE183904","NGCII525",1267,"Kumar_2022"
"Stomach","GSE183904","NGCII527",589,"Kumar_2022"
"Stomach","GSE183904","NGCII536",1059,"Kumar_2022"
"Stomach","GSE183904","NGCII538",5622,"Kumar_2022"
"Stomach","phs001818.v1.p1","P5846",715,"Sathe_2020"
"Stomach","phs001818.v1.p1","P5866",2681,"Sathe_2020"
"Stomach","phs001818.v1.p1","P5931",819,"Sathe_2020"
"Stomach","phs001818.v1.p1","P6207",874,"Sathe_2020"
"Stomach","phs001818.v1.p1","P6342",243,"Sathe_2020"
"Stomach","phs001818.v1.p1","P6592",483,"Sathe_2020"
"Stomach","phs001818.v1.p1","P6649",224,"Sathe_2020"
"Stomach","phs001818.v1.p1","P6709",2107,"Sathe_2020"
"Head_and_Neck","GSE164241","B2",118,"Williams_2021"
"Head_and_Neck","GSE164241","B3",516,"Williams_2021"
"Head_and_Neck","GSE164241","B4",2288,"Williams_2021"
"Head_and_Neck","GSE164241","B5",1212,"Williams_2021"
"Head_and_Neck","GSE164241","B6",436,"Williams_2021"
"Head_and_Neck","GSE164241","B7",1126,"Williams_2021"
"Head_and_Neck","GSE164241","B8",361,"Williams_2021"
"Head_and_Neck","GSE164241","G1",531,"Williams_2021"
"Head_and_Neck","GSE164241","G10",862,"Williams_2021"
"Head_and_Neck","GSE164241","G11",1389,"Williams_2021"
"Head_and_Neck","GSE164241","G12",3052,"Williams_2021"
"Head_and_Neck","GSE164241","G13",983,"Williams_2021"
"Head_and_Neck","GSE164241","G2",511,"Williams_2021"
"Head_and_Neck","GSE164241","G3",405,"Williams_2021"
"Head_and_Neck","GSE164241","G5",939,"Williams_2021"
"Head_and_Neck","GSE164241","G7",1111,"Williams_2021"
"Head_and_Neck","GSE164241","G8",389,"Williams_2021"
"Head_and_Neck","GSE164241","G9",3040,"Williams_2021"
"Head_and_Neck","GSE217720","HP1",122,"Ko_2023"
"Head_and_Neck","GSE217720","HP2",2039,"Ko_2023"
"Head_and_Neck","Huang_2021","G16",1156,"Huang_2021"
"Head_and_Neck","Huang_2021","G17",902,"Huang_2021"
"Head_and_Neck","Huang_2021","G18",758,"Huang_2021"
"Head_and_Neck","Huang_2021","G19",133,"Huang_2021"
"Head_and_Neck","Warner","L2",63,"Fernandes_2024"
"Head_and_Neck","Warner","L3",103,"Fernandes_2024"
"Head_and_Neck","Warner","L4",106,"Fernandes_2024"
"Head_and_Neck","Warner","L5",222,"Fernandes_2024"
"Head_and_Neck","Kretzschmar","SP1",136,"Fernandes_2024"
"Head_and_Neck","GSE152042","G14",260,"Caetano_2021"
"Head_and_Neck","GSE152042","G15",613,"Caetano_2021"
"Thyroid","GSE182416","N3-GEX",3228,"Hong_2023"
"Thyroid","GSE182416","Thy01",3002,"Hong_2023"
"Thyroid","GSE182416","Thy04",706,"Hong_2023"
"Thyroid","GSE182416","Thy05",4450,"Hong_2023"
"Thyroid","GSE182416","Thy06",1000,"Hong_2023"
"Thyroid","GSE182416","Thy10",3009,"Hong_2023"
"Thyroid","GSE182416","Thy15",2356,"Hong_2023"
