"Tissue","Project","Sample","Num_cells","cohort"
"Bladder","GSE201333","TSP1_Bladder",1917,"Tabula"
"Bladder","GSE201333","TSP2_Bladder",956,"Tabula"
"Bladder","GSE201333","TSP14_Bladder",1278,"Tabula"
"Blood","GSE201333","TSP1_Blood",3939,"Tabula"
"Blood","GSE201333","TSP10_Blood",5007,"Tabula"
"Blood","GSE201333","TSP14_Blood",9962,"Tabula"
"Blood","GSE201333","TSP14_Vasculature",1733,"Tabula"
"Blood","GSE201333","TSP2_Blood",11402,"Tabula"
"Blood","GSE201333","TSP2_Vasculature",2397,"Tabula"
"Blood","GSE201333","TSP7_Blood",17831,"Tabula"
"Blood","GSE201333","TSP8_Blood",1974,"Tabula"
"Bowel","GSE201333","TSP1_Bladder",1917,"Tabula"
"Bowel","GSE201333","TSP14_Bladder",1278,"Tabula"
"Bowel","GSE201333","TSP2_Bladder",956,"Tabula"
"Breast","GSE201333","TSP4_Mammary",5854,"Tabula"
"Head_and_Neck","GSE201333","TSP14_Tongue",4410,"Tabula"
"Head_and_Neck","GSE201333","TSP4_Tongue",169,"Tabula"
"Head_and_Neck","GSE201333","TSP7_Tongue",7483,"Tabula"
"Kidney","GSE201333","TSP2_Kidney",8331,"Tabula"
"Liver","GSE201333","TSP14_Liver",1522,"Tabula"
"Liver","GSE201333","TSP6_Liver",78,"Tabula"
"Lung","GSE201333","TSP1_Lung",2012,"Tabula"
"Lung","GSE201333","TSP14_Lung",3872,"Tabula"
"Lung","GSE201333","TSP2_Lung",8097,"Tabula"
"Pancreas","GSE201333","TSP1_Pancreas",6210,"Tabula"
"Pancreas","GSE201333","TSP9_Pancreas",2005,"Tabula"
"Prostate","GSE201333","TSP14_Prostate",2131,"Tabula"
"Prostate","GSE201333","TSP8_Prostate",10185,"Tabula"
"Skin","GSE201333","TSP10_Skin",101,"Tabula"
"Uterus","GSE201333","TSP4_Uterus",293,"Tabula"
"Blood","GSE134355","Donor45_AdultPeripheralBlood",2719,"HCL"
"Blood","GSE134355","Donor46_AdultPeripheralBlood",5295,"HCL"
"Blood","GSE134355","Donor47_AdultPeripheralBlood",2156,"HCL"
"Blood","GSE134355","Donor48_AdultPeripheralBlood",7160,"HCL"
"Bowel","GSE134355","Donor24_AdultAscendingColon",98,"HCL"
"Bowel","GSE134355","Donor24_AdultEpityphlon",192,"HCL"
"Bowel","GSE134355","Donor24_AdultRectum",3426,"HCL"
"Bowel","GSE134355","Donor24_AdultSigmoidColon",1763,"HCL"
"Bowel","GSE134355","Donor25_AdultDuodenum",2642,"HCL"
"Bowel","GSE134355","Donor34_AdultIleum",1323,"HCL"
"Bowel","GSE134355","Donor35_AdultJeJunum",3691,"HCL"
"Bowel","GSE134355","Donor49_AdultTransverseColon",3206,"HCL"
"Bowel","GSE134355","Donor55_AdultTransverseColon",4773,"HCL"
"Brain","GSE134355","Donor29_AdultCerebellum",7324,"HCL"
"Brain","GSE134355","Donor52_AdultTemporalLobe",9544,"HCL"
"Esophagus","GSE134355","Donor31_AdultEsophagus",2499,"HCL"
"Esophagus","GSE134355","Donor32_AdultEsophagus",2024,"HCL"
"Kidney","GSE134355","Donor34_AdultKidney",5247,"HCL"
"Kidney","GSE134355","Donor36_AdultKidney",5464,"HCL"
"Kidney","GSE134355","Donor37_AdultKidney",2273,"HCL"
"Lung","GSE134355","Donor38_AdultLung",2051,"HCL"
"Lung","GSE134355","Donor41_AdultLung",3690,"HCL"
"Lung","GSE134355","Donor42_AdultLung",2128,"HCL"
"Pancreas","GSE134355","Donor44_AdultPancreas",8062,"HCL"
"Pleura","GSE134355","Donor23_AdultPleura",2594,"HCL"
"Prostate","GSE134355","Donor31_AdultProstate",2186,"HCL"
"Stomach","GSE134355","Donor31_AdultStomach",1509,"HCL"
"Stomach","GSE134355","Donor50_AdultStomach",83,"HCL"
"Stomach","GSE134355","Donor51_AdultStomach",5779,"HCL"
"Thyroid","GSE134355","Donor53_AdultThyroid",5748,"HCL"
"Thyroid","GSE134355","Donor54_AdultThyroid",1555,"HCL"
"Uterus","GSE134355","Donor30_AdultCervix",478,"HCL"
"Uterus","GSE134355","Donor30_AdultUterus",153,"HCL"
"Bladder","GSE134355","GSM3980137",92,"HCL"
"Bladder","PRJNA662018","SRX9087497",445,"DISCO"
"Bladder","PRJNA662018","SRX9087504",390,"DISCO"
"Bladder","PRJNA662018","SRX9087505",178,"DISCO"
"Blood","E-MTAB-9652","ERX4607510",1900,"DISCO"
"Blood","E-MTAB-9652","ERX4607513",1973,"DISCO"
"Blood","GSE132802","GSM3892571",1966,"DISCO"
"Blood","GSE139324","GSM4138162",1979,"DISCO"
"Blood","GSE139324","GSM4138163",1933,"DISCO"
"Blood","GSE139324","GSM4138166",1627,"DISCO"
"Blood","GSE149689","GSM4509024",1817,"DISCO"
"Blood","GSE149689","GSM4509029",1924,"DISCO"
"Blood","GSE155673","GSM4712895",1917,"DISCO"
"Blood","GSE157278","GSM4760624",1940,"DISCO"
"Blood","GSE157344","GSM4762184",1674,"DISCO"
"Blood","GSE157344","GSM4762187",1528,"DISCO"
"Blood","GSE157829","GSM4775591",1967,"DISCO"
"Blood","GSE157829","GSM4775593",1941,"DISCO"
"Blood","GSE157829","GSM4775594",1981,"DISCO"
"Blood","GSE161329","GSM4904935",1984,"DISCO"
"Blood","GSE161329","GSM4904936",1974,"DISCO"
"Blood","GSE162577","GSM4954813",1963,"DISCO"
"Blood","GSE163668","GSM4995443",1272,"DISCO"
"Blood","GSE163668","GSM4995452",1944,"DISCO"
"Blood","GSE163668","GSM4995456",561,"DISCO"
"Blood","GSE163668","GSM4995460",1533,"DISCO"
"Blood","GSE163668","GSM4995462",1410,"DISCO"
"Blood","GSE167363","GSM5102901",1978,"DISCO"
"Blood","GSE168522","GSM5145402",1861,"DISCO"
"Blood","GSE171555","GSM5227138",1861,"DISCO"
"Blood","GSE175499","GSM5335491",1982,"DISCO"
"Blood","GSE175499","GSM5335492",1910,"DISCO"
"Blood","GSE175499","GSM5335493",1969,"DISCO"
"Blood","HRA000150","HRR059130",1882,"DISCO"
"Blood","HRA000150","HRR059131",1764,"DISCO"
"Blood","HRA000203","HRX059681",1875,"DISCO"
"Blood","HRA000203","HRX059691",1939,"DISCO"
"Brain","GSE138852","GSM4120426",817,"DISCO"
"Brain","GSE138852","GSM4120428",655,"DISCO"
"Brain","GSE140231","GSM4157067",3182,"DISCO"
"Brain","GSE140231","GSM4157068",565,"DISCO"
"Brain","GSE140231","GSM4157070",426,"DISCO"
"Brain","GSE140231","GSM4157073",2670,"DISCO"
"Brain","GSE140231","GSM4157074",1060,"DISCO"
"Brain","GSE140231","GSM4157075",1818,"DISCO"
"Brain","GSE140231","GSM4157077",3188,"DISCO"
"Brain","GSE141552","GSM4206903",1370,"DISCO"
"Brain","GSE141552","GSM4206904",1241,"DISCO"
"Brain","GSE141552","GSM4206905",918,"DISCO"
"Brain","GSE141552","GSM4206906",3736,"DISCO"
"Brain","GSE144136","GSM4281975",1037,"DISCO"
"Brain","GSE144136","GSM4281976",491,"DISCO"
"Brain","GSE144136","GSM4281980",1354,"DISCO"
"Brain","GSE144136","GSM4281982",695,"DISCO"
"Brain","GSE144136","GSM4281985",1264,"DISCO"
"Brain","GSE144136","GSM4281986",1377,"DISCO"
"Brain","GSE144136","GSM4281988",2407,"DISCO"
"Brain","GSE144136","GSM4281989",883,"DISCO"
"Brain","GSE144136","GSM4281992",1828,"DISCO"
"Brain","GSE144136","GSM4281993",2490,"DISCO"
"Brain","GSE144136","GSM4281994",1445,"DISCO"
"Brain","GSE144136","GSM4281995",1121,"DISCO"
"Brain","GSE144136","GSM4282000",659,"DISCO"
"Brain","GSE144136","GSM4282002",1287,"DISCO"
"Brain","GSE144136","GSM4282004",1673,"DISCO"
"Brain","GSE157783","GSM4774936",2366,"DISCO"
"Brain","GSE157783","GSM4774937",2622,"DISCO"
"Brain","GSE157783","GSM4774938",1844,"DISCO"
"Brain","GSE157783","GSM4774939",3934,"DISCO"
"Brain","GSE157783","GSM4774940",2399,"DISCO"
"Brain","GSE157783","GSM4774941",3821,"DISCO"
"Brain","GSE157827","GSM4775573",3902,"DISCO"
"Brain","GSE157827","GSM4775574",4654,"DISCO"
"Brain","GSE157827","GSM4775576",11141,"DISCO"
"Brain","GSE157827","GSM4775577",7497,"DISCO"
"Brain","GSE157827","GSM4775578",5303,"DISCO"
"Brain","GSE157827","GSM4775580",9676,"DISCO"
"Brain","GSE157827","GSM4775581",7436,"DISCO"
"Brain","GSE174367","GSM5292838",3441,"DISCO"
"Brain","GSE174367","GSM5292839",1485,"DISCO"
"Brain","GSE174367","GSM5292851",1554,"DISCO"
"Brain","GSE174367","GSM5292852",2053,"DISCO"
"Brain","GSE174367","GSM5292853",1886,"DISCO"
"Brain","GSE174367","GSM5292854",1758,"DISCO"
"Brain","GSE174367","GSM5292855",1973,"DISCO"
"Brain","GSE174367","GSM5292856",3274,"DISCO"
"Brain","PRJNA544731","SAMN11853942",644,"DISCO"
"Brain","PRJNA544731","SAMN11853944",926,"DISCO"
"Brain","PRJNA544731","SAMN11853945",1309,"DISCO"
"Brain","PRJNA544731","SAMN11853946",1278,"DISCO"
"Brain","PRJNA544731","SAMN11853947",1578,"DISCO"
"Brain","PRJNA544731","SAMN11853948",1035,"DISCO"
"Brain","PRJNA544731","SAMN11853949",951,"DISCO"
"Breast","E-MTAB-10855","ERX6124285",8229,"DISCO"
"Breast","E-MTAB-10855","ERX6124286",576,"DISCO"
"Breast","E-MTAB-10855","ERX6124287",6391,"DISCO"
"Breast","E-MTAB-10885","ERX6174476",3506,"DISCO"
"Breast","E-MTAB-10885","ERX6174477",3620,"DISCO"
"Breast","E-MTAB-10885","ERX6174478",3584,"DISCO"
"Breast","E-MTAB-9841","ERX4770806",4148,"DISCO"
"Breast","E-MTAB-9841","ERX4770807",2437,"DISCO"
"Breast","E-MTAB-9841","ERX4770808",3372,"DISCO"
"Breast","E-MTAB-9841","ERX4770809",4305,"DISCO"
"Breast","GSE164898","GSM5022599",1951,"DISCO"
"Breast","GSE164898","GSM5022600",693,"DISCO"
"Breast","GSE164898","GSM5022601",1438,"DISCO"
"Breast","GSE164898","GSM5022602",1396,"DISCO"
"Breast","GSE164898","GSM5022603",1468,"DISCO"
"Breast","GSE164898","GSM5022604",1493,"DISCO"
"Breast","GSE164898","GSM5022605",1201,"DISCO"
"Breast","GSE164898","GSM5022606",183,"DISCO"
"Breast","GSE195861","GSM5852274",930,"DISCO"
"Bowel","E-MTAB-8474","ERX3620262",138,"DISCO"
"Bowel","E-MTAB-8474","ERX3620263",74,"DISCO"
"Bowel","E-MTAB-8901","ERX4012101",163,"DISCO"
"Bowel","E-MTAB-8901","ERX4012102",100,"DISCO"
"Bowel","E-MTAB-8901","ERX4012103",361,"DISCO"
"Bowel","E-MTAB-8901","ERX4012104",690,"DISCO"
"Bowel","E-MTAB-8901","ERX4012105",135,"DISCO"
"Bowel","E-MTAB-8901","ERX4012106",76,"DISCO"
"Bowel","E-MTAB-8901","ERX4012107",284,"DISCO"
"Bowel","E-MTAB-8901","ERX4012108",232,"DISCO"
"Bowel","GSE116222","GSM3214203",329,"DISCO"
"Bowel","GSE116222","GSM3214206",1699,"DISCO"
"Bowel","GSE116222","GSM3214209",1946,"DISCO"
"Bowel","GSE140288","GSM4158911",2753,"DISCO"
"Bowel","GSE140288","GSM4158912",2340,"DISCO"
"Bowel","GSE159929","GSM4850586",563,"DISCO"
"Bowel","GSE159929","GSM4850588",1324,"DISCO"
"Bowel","GSE176499","GSM5366688",331,"DISCO"
"Bowel","GSE176499","GSM5366689",102,"DISCO"
"Bowel","GSE214695","GSM6614348",92,"DISCO"
"Bowel","GSE214695","GSM6614349",511,"DISCO"
"Bowel","GSE214695","GSM6614350",512,"DISCO"
"Bowel","GSE214695","GSM6614351",435,"DISCO"
"Bowel","GSE214695","GSM6614352",405,"DISCO"
"Bowel","GSE214695","GSM6614353",342,"DISCO"
"Bowel","GSE224679","GSM7029397",134,"DISCO"
"Bowel","GSE231993","GSM7307102",88,"DISCO"
"Bowel","GSE231993","GSM7307103",238,"DISCO"
"Bowel","GSE231993","GSM7307104",678,"DISCO"
"Bowel","GSE231993","GSM7307105",538,"DISCO"
"Kidney","GSE118184","GSM3320197",282,"DISCO"
"Kidney","GSE118184","GSM3320198",695,"DISCO"
"Kidney","GSE131882","GSM3823939",3831,"DISCO"
"Kidney","GSE131882","GSM3823940",862,"DISCO"
"Kidney","GSE131882","GSM3823941",2874,"DISCO"
"Kidney","GSE151302","GSM4572192",3832,"DISCO"
"Kidney","GSE151302","GSM4572193",861,"DISCO"
"Kidney","GSE151302","GSM4572194",2875,"DISCO"
